fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-06-30,2023-08-08,3.51,2.96,0.55,18.5811
2023-03-31,2023-05-02,1.63,1.71,-0.08,-4.6784
2022-12-31,2023-01-31,3.26,3.03,0.23,7.5908
2022-09-30,2022-11-01,3.42,2.54,0.88,34.6457
2022-06-30,2022-08-09,2.62,1.96,0.66,33.6735
2022-03-31,2022-05-03,1.55,1.12,0.43,38.3929
2021-12-31,2022-02-01,0.88,0.78,0.1,12.8205
2021-09-30,2021-11-02,0.58,0.38,0.2,52.6316
2021-06-30,2021-08-10,0.81,0.78,0.03,3.8462
2021-03-31,2021-05-04,0.5,0.47,0.03,6.383
2020-12-31,2021-02-02,0.63,0.44,0.19,43.1818
2020-09-30,2020-11-03,0.55,0.16,0.39,243.75
2020-06-30,2020-08-11,0.68,0.54,0.14,25.9259
2020-03-31,2020-05-07,0.84,0.08,0.76,950
2019-12-31,2020-02-06,0.57,0.68,-0.11,-16.1765
2019-09-30,2019-12-19,0.53,0.59,-0.06,-10.1695
2019-06-30,2019-08-15,0.59,0.59,0,0
2019-03-31,2019-05-17,0.5,0.39,0.11,28.2051
2018-12-31,2019-02-15,0.6,0.45,0.15,33.3333
2018-09-30,2018-11-16,0.68,0.68,0,0
2018-06-30,2018-08-21,0.77,0.55,0.22,40
2018-03-31,2018-05-03,0.5,0.36,0.14,38.8889
2017-12-31,2018-01-25,0.51,0.46,0.05,10.8696
2017-09-30,2017-10-26,0.28,0.19,0.09,47.3684
2017-06-30,2017-08-03,0.39,0.36,0.03,8.3333
2017-03-31,2017-04-27,0.38,0.38,0,0
2016-12-31,2017-01-26,0.48,0.46,0.02,4.3478
2016-09-30,2016-10-27,0.32,0.19,0.13,68.4211
2016-06-30,2016-08-04,0.2,0.21,-0.01,-4.7619
2016-03-31,2016-04-28,0.36,0.34,0.02,5.8824
2015-12-31,2016-01-28,0.73,0.66,0.07,10.6061
2015-09-30,2015-10-22,0.45,0.46,-0.01,-2.1739
2015-06-30,2015-08-04,0.57,0.56,0.01,1.7857
2015-03-31,2015-04-21,0.47,0.49,-0.02,-4.0816
2014-12-31,2015-01-20,0.65,0.47,0.18,38.2979
2014-09-30,2014-10-21,0.46,0.38,0.08,21.0526
2014-06-30,2014-08-05,0.4,0.39,0.01,2.5641
2014-03-31,2014-04-22,0.37,0.27,0.1,37.037
2013-12-31,2014-01-21,0.35,0.26,0.09,34.6154
2013-09-30,2013-10-22,0.22,0.22,0,0
2013-06-30,2013-08-06,0.26,0.21,0.05,23.8095
2013-03-31,2013-04-23,0.23,0.2,0.03,15
2012-12-31,2013-01-22,0.18,0.14,0.04,28.5714
2012-09-30,2012-10-23,0.07,0.11,-0.04,-36.3636
2012-06-30,2012-08-07,0.18,0.19,-0.01,-5.2632
2012-03-31,2012-04-24,0.19,0.22,-0.03,-13.6364
2011-12-31,2012-01-24,0.25,0.25,0,0
2011-09-30,2011-10-25,0.24,0.24,0,0
2011-06-30,2011-08-02,0.29,0.29,0,0
2011-03-31,2011-04-26,0.28,0.28,0,0
2010-12-31,2011-01-25,0.31,0.26,0.05,19.2308
2010-09-30,2010-10-26,0.22,0.22,0,0
2010-06-30,2010-08-03,0.21,0.22,-0.01,-4.5455
2010-03-31,2010-04-27,0.21,0.21,0,0
2009-12-31,2010-01-26,0.22,0.17,0.05,29.4118
2009-09-30,2009-10-27,0.15,0.09,0.06,66.6667
2009-06-30,2009-08-05,0.06,0.06,0,0
2009-03-31,2009-04-29,0.03,0.08,-0.05,-62.5
2008-12-31,2009-01-28,0.14,0.14,0,0
2008-09-30,2008-10-29,0.18,0.15,0.03,20
2008-06-30,2008-08-06,0.18,0.15,0.03,20
2008-03-31,2008-04-29,0.13,0.14,-0.01,-7.1429
2007-12-31,2008-01-30,0.2,0.18,0.02,11.1111
2007-09-30,2007-10-31,0.15,0.15,0,0
2007-06-30,2007-08-07,0.14,0.12,0.02,16.6667
2007-03-31,2007-05-10,0.1255,None,None,None
